image name,data type,image height,image width,pixels,channels
A3,uint8,792,792,1881792,3
AF19,uint8,792,792,1881792,3
D2,uint8,792,792,1881792,3
D25,uint8,792,792,1881792,3
E22,uint8,792,792,1881792,3
G11,uint8,792,792,1881792,3
H13,uint8,792,792,1881792,3
H24,uint8,792,792,1881792,3
J6,uint8,792,792,1881792,3
L18,uint8,792,792,1881792,3
M7,uint8,792,792,1881792,3
T21,uint8,792,792,1881792,3
U25,uint8,792,792,1881792,3
Y18,uint8,792,792,1881792,3
Y3,uint8,792,792,1881792,3
Y7,uint8,792,792,1881792,3
